"name","industries","hq","website","estimated_revenue","employees","ticker"
"ANDERSON TECHNOLOGIES","Computer, Consulting, Cyber Security, Hardware, Information Technology, Software, Web Design","St Louis, Missouri, United States","andersontech.com","Less than $1M",,
"ASG Information Technologies","Consulting, Cyber Security, Information Technology, Network Hardware, VoIP","Wallingford, Connecticut, United States","www.asgct.com/","Less than $1M",,
"AT&T Business","Cloud Data Services, Hardware, Telecommunications, Wireless","Dallas, Texas, United States","www.business.att.com","$500M to $1B",,
"Aitivity","Blockchain, Cyber Security, Hardware, Information Technology, Internet of Things, Security","San Francisco, California, United States","www.aitivity.com/","—",,
"Asi Networks","Collaboration, Cyber Security, Network Hardware","City Of Industry, California, United States","www.asi-networks.com","$1M to $10M",,
"Aztech Consulting","Consulting, Information Technology, Network Hardware","Dover, Massachusetts, United States","www.aztechgroup.com","Less than $1M",,
"Bayou Technologies","Communication Hardware, Cyber Security, Data Integration","Lake Charles, Louisiana, United States","bayoutechnologies.com/","$1M to $10M",,
"Blockchain Development Foundation","Blockchain, Hardware, Information Technology, Software","Lodz, Lodzkie, Poland","www.blockchaindev.eu","—",,
"Borsight","Aerospace, Cyber Security, Hardware, Software Engineering, Training","Ogden, Utah, United States","www.borsight.com/","$1M to $10M",,
"BreakPoint Labs","Cyber Security, Hardware","Falls Church, Virginia, United States","breakpoint-labs.com","Less than $1M",,
"Broadcom Limited","Electronics, Information Technology, Semiconductor","San Jose, California, United States",,"$1B to $10B","5001-10000","FRA:1YD"
"CMGeeks","Cloud Computing, Cyber Security, IT Management, Network Hardware, Software, Virtualization","Oakham, Massachusetts, United States","www.cmgeeks.com/","Less than $1M",,
"CML","Cyber Security, Hardware, Software","Boise, Idaho, United States","cmlab.biz/","$1M to $10M",,
"CRM","Network Hardware, Security, Software","Desselgem, West-Vlaanderen, Belgium","www.crm.be","$1M to $10M",,
"Cisco","Communications, Infrastructure Enterprise, Software Hardware","San Francisco Bay Area, Silicon Valley, West Coast",,"$10B+","10001+","CSCO"
"Claranet","Cloud Computing, Cyber Security, Information Technology, Network Hardware, Unified Communications","London, England, United Kingdom","www.claranet.co.uk/","$100M to $500M",,
"Code Blue Computing","Cloud Computing, Cyber Security, IT Management, Network Hardware","Broomfield, Colorado, United States","codebluecomputing.com/","$10M to $50M",,
"Concentrade","Cyber Security, IT Infrastructure, Network Hardware, Network Security","Dortmund, Nordrhein-Westfalen, Germany","www.concentrade.de/","$1M to $10M",,
"Corepoint Networks","Cloud Computing, Cyber Security, Information Technology, Network Hardware","Mount Laurel, New Jersey, United States","corepointnetworks.com/","$1M to $10M",,
"Crypto Quantique","Cyber Security, Hardware, Software, Wired Telecommunications","City Of London, England, United Kingdom","cryptoquantique.com/","$1M to $10M",,
"Cryptomage","Analytics, Communication Hardware, Cyber Security, Telecommunications","Wroclaw, Dolnoslaskie, Poland","www.cryptomage.com","$1M to $10M",,
"CyberArk","Cloud Security, Cyber Security, Security","Newton, Massachusetts, United States",,"$100M to $500M","1001-5000","CYBR"
"CyberSwarm","Artificial Intelligence, Cyber Security, Hardware","Delaware, Ohio, United States","www.cyber-swarm.net","—",,
"Cyberkite","Cyber Security, Information Technology, Internet, Network Hardware, Network Security, Robotics, Smart Home, Unified Communications","Glen Waverley, Victoria, Australia","www.cyberkite.com.au","—",,
"Datacomm Diangraha","Communication Hardware, Data Integration, Information Technology","Jakarta, Jakarta Raya, Indonesia","www.datacomm.co.id/en/","—",,
"Decamind","Cyber Security, Network Hardware, Web Hosting","Brooklyn, New York, United States","www.decamind.com/","Less than $1M",,
"Developers Forensics Tools","Cyber Security, Hardware, Information Technology","A Coruña, Galicia, Spain","dftools.net/","—",,
"Digisoft IT","Cyber Security, IT Infrastructure, IT Management, Network Hardware, Telecommunications","Dallas, Texas, United States","digisoftit.com/","—",,
"ERI","Cyber Security, Hardware, Information Technology","Fresno, California, United States","ERIDirect.com","—",,
"EVERNET","Brand Marketing, Consulting, Cyber Security, Digital Marketing, Hardware, Software","Hartford, Connecticut, United States","www.evernetco.com/","Less than $1M",,
"Edge Informations Systems","Architecture, Cyber Security, Network Hardware","Washington, District of Columbia, United States","www.edgeis.net/","Less than $1M",,
"Entech Network Consulting","Communications Infrastructure, Cyber Security, Network Hardware","Great Falls, Virginia, United States","www.entech-usa.net/","Less than $1M",,
"Erhlic Engineering Labs","Hardware, Software","—","www.erhlic.com","—",,
"Execpro Enterprises","Cyber Security, Data Integration, Hardware, Internet, Software","Long Beach, New York, United States","www.execpro.com/","Less than $1M",,
"Fidelitech","Cloud Computing, Cyber Security, Network Hardware","Salt Lake City, Utah, United States","www.fidelitech.net/","Less than $1M",,
"Fortinet","Cyber Security, Mobile, Network Security, Security","Sunnyvale, California, United States",,"$500M to $1B","1001-5000","FTNT"
"Forward In Technology","Cyber Security, Email, IT Management, Network Hardware, Technical Support","Oklahoma City, Oklahoma, United States","www.forwardintech.com","$1M to $10M",,
"Goserver","Cyber Security, Hardware, IT Infrastructure, Software","Munich, Bayern, Germany","www.goserver.de","$1M to $10M",,
"GreatHorn","Cyber Security, Email, Hardware, Internet, Machine Learning, Security, Software","Waltham, Massachusetts, United States","www.greathorn.com","Less than $1M",,
"HRDN","Cyber Security, Hardware, Software","New York, New York, United States","hrdnlabs.com","—",,
"HTS Voice & Data Systems","Cyber Security, Hardware, Information Technology, Network Security, Software","San Antonio, Texas, United States","www.hts-tx.com/","$1M to $10M",,
"HawkEye G","Information Technology, Network Hardware, Network Security","Hanover, Maryland, United States","—","—",,
"Hiddn Solutions","Cyber Security, Hardware","Oslo, Oslo, Norway","hiddnsolutions.no","Less than $1M",,
"Hillstone Networks
","Network Security","San Francisco Bay Area, Silicon Valley, West Coast",,"$10M to $50M","501-1000",""
"IBM Security","CRM, Information Technology, Network Security, Security Software","Armonk, New York, United States",,"$10B+","10001+","IBM"
"Information Resource System Corporation","Cyber Security, Information Services, Network Hardware, Software","Wheaton, Illinois, United States","www.irsys.com/","$1M to $10M",,
"Intrinsic Technology Group","Cloud Computing, Cyber Security, Information Technology, Network Hardware, Telecommunications, VoIP","New York, New York, United States","www.intrinsicamerica.com/","Less than $1M",,
"Juniper Networks","Communication, Hardware Infrastructure, Security","Sunnyvale, California, United States",,"$1B to $10B","5001-10000","NYSE:JNPR"
"Kyber Systems","Consulting, Cyber Security, Electronics, Information Technology, Network Hardware, Network Security, Software","Irvine, California, United States","www.kybersystems.com","—",,
"Loftus Technology","Cyber Security, Hardware, Information Technology, Software","Adelaide, South Australia, Australia","loftusit.com.au","—",,
"Matzelsberger","CRM, Hardware, Software","Ulm, Baden-Wurttemberg, Germany","www.matzelsberger.com","$1M to $10M",,
"Micro Works Technology Solutions","Cyber Security, Hardware, Information Services, Information Technology, Software","Andover, Massachusetts, United States","itlmicroworks.com","$1M to $10M",,
"Midwest IT Systems","Cyber Security, Information and Communications Technology (ICT), IT Management, Network Hardware, VoIP","Blue Earth, Minnesota, United States","www.itsystemsinc.net","Less than $1M",,
"Mission Secure","Cyber Security, Hardware","Charlottesville, Virginia, United States","www.missionsecure.com","$1M to $10M",,
"Nerds That Care","Cyber Security, Information Technology, IT Management, Network Hardware, Technical Support","Bohemia, New York, United States","nerdsthatcare.com","$1M to $10M",,
"Nethive","Cloud Data Services, Communication Hardware, Computer, Network Security","Limena, Veneto, Italy","www.nethive.it/en/","—",,
"Newtech","Cyber Security, Hardware, Software","Marsaskala, NA - Malta, Malta","newtech.mt/","—",,
"Nowcomm","Cyber Security, IT Infrastructure, Network Hardware, Professional Services","Derby, Derby, United Kingdom","nowcomm.com/","$1M to $10M",,
"Ohana IT","Computer, Cyber Security, Information Technology, Network Hardware","West Linn, Oregon, United States","www.ohanait.com/index.html","Less than $1M",,
"Olympus Sky","Aerospace, Automotive, Cyber Security, Industrial, Industrial Automation, Industrial Manufacturing, Internet of Things, Network Hardware, Network Security, Software","Lodz, Lodzkie, Poland","www.olympussky.com/","$1M to $10M",,
"Open Data Security","Hardware, Internet, Internet of Things","Santa Cruz De Tenerife, Canarias, Spain","opendatasecurity.io","—",,
"Orditech","Architecture, Cyber Security, Network Hardware","Tournai, Hainaut, Belgium","www.orditech.be","$1M to $10M",,
"PC Miracles","Consulting, Cyber Security, Hardware, Information Technology, Network Security, Professional Services","Pontiac, Michigan, United States","www.pcmiracles.com","$1M to $10M",,
"PFP Cybersecurity","Analytics, Cyber Security, Hardware, Internet of Things, Intrusion Detection, Security","Vienna, Virginia, United States","www.pfpcyber.com/","Less than $1M",,
"PKI Solutions","Internet of Things, IT Infrastructure, Network Hardware, Security","Lake Oswego, Oregon, United States","www.pkisolutions.com/","Less than $1M",,
"Preemo","Consulting, Hardware, Information Technology, Service Industry, Software","Miami, Florida, United States","www.preemo.com","$10M to $50M",,
"Pygram","Business Intelligence, Cyber Security, Information Technology, Network Hardware, Software","Haute-goulaine, Pays de la Loire, France","www.pygram.com/","—",,
"Q-Branch Labs","Cyber Security, Internet of Things, Network Hardware, Network Security","London, England, United Kingdom","www.q-branch-labs.com","$1M to $10M",,
"Qteco","Cyber Security, Hardware, IT Management","Eindhoven, Noord-Brabant, The Netherlands","qteco.nl","Less than $1M",,
"RF-Works","Information Technology, Network Hardware, Network Security, Wireless","Columbus, Ohio, United States","rf-works.com","$1M to $10M",,
"Rivetz","Cyber Security, Hardware, Internet, Security","Richmond, Massachusetts, United States","rivetz.com/","Less than $1M",,
"Roland Security","Cyber Security, Information Technology, Network Hardware, Network Security","Oslo, Oslo, Norway","www.rolandsecurity.no/","Less than $1M",,
"RowNet","Cyber Security, Information Technology, IT Infrastructure, Network Hardware, Telecommunications, Unified Communications","Dallas, Texas, United States","www.rownet.com/","$1M to $10M",,
"SDN Communication - Cloud Contact Center","Communication Hardware, Cyber Security, Mobile, Wireless","Sioux Falls, South Dakota, United States","sdncommunications.com/","—",,
"SaaSAge","Compliance, Cyber Security, Information Technology, IT Infrastructure, Network Hardware","Hyde, Cheshire, United Kingdom","saasage.co.uk/","Less than $1M",,
"Saturn Networks","Cloud Management, Cyber Security, Network Hardware, VoIP","Asheville, North Carolina, United States","saturnnetworks.com/","Less than $1M",,
"Seasecure","Cyber Security, Internet, Marine Technology, Network Hardware, Software","Bergen, Hordaland, Norway","www.seasecure.net/","Less than $1M",,
"Shift5","Cyber Security, Hardware, Information Technology, Software","Arlington, Virginia, United States","shift5.io/","$1M to $10M",,
"Strategic Network Consulting","Consulting, Cyber Security, Hardware, Information Technology","Bellaire, Texas, United States","www.snc.net/","—",,
"Tampa Bay Tech Solutions","Cloud Computing, Computer, Cyber Security, Information Technology, Network Hardware, Software","Tampa, Florida, United States","tbtechs.com/","Less than $1M",,
"Top Group Technologies","Cyber Security, Network Hardware, Software","Largo, Florida, United States","topgrouptech.com/","Less than $1M",,
"Torus Technologies","Cyber Security, Hunting, Network Hardware","Coralville, Iowa, United States","www.torusinc.com/","Less than $1M",,
"Trin Ware","Cloud Computing, Compliance, Cyber Security, Hardware","Centennial, Colorado, United States","www.trinware.com","—",,
"Twistcode","GPU, Hardware, Information Technology","Selangor, Selangor, Malaysia","twistcode.com/","—",,
"US Itek","Cloud Computing, Cyber Security, Hardware, Information Technology","Tonawanda, New York, United States","www.usitek.com/","$1M to $10M",,
"VE Industries","Cloud Data Services, Cyber Security, IT Management, Network Hardware, Technical Support","Lexington, Massachusetts, United States","www.veindustries.com","$1M to $10M",,
"VNETWORK","Cloud Storage, Cyber Security, Network Hardware","Ho Chi Minh City, NA - Vietnam, Vietnam","vnetwork.vn","—",,
"Vaion","Hardware, Information Technology, Physical Security, Security, Software","Uxbridge, Hillingdon, United Kingdom","www.vaion.com","—",,
"Velocita Technology","Cloud Computing, Cyber Security, Hardware, Information Technology","Joliet, Illinois, United States","www.vtjoliet.com/","$1M to $10M",,
"Virte","Cyber Security, Information and Communications Technology (ICT), Network Hardware","Bratislava, Bratislava, Slovakia (Slovak Republic)","www.virte.sk","$1M to $10M",,
"Waje Smart Solutions Limited","Cloud Computing, Cyber Security, Network Hardware, Software","Lekki, Lagos, Nigeria","wajesmart.com/","—",,
"Warpcom","Cyber Security, Information Technology, IT Infrastructure, IT Management, Network Hardware","Amadora, Lisboa, Portugal","warpcom.com","$10M to $50M",,
"XimpleIT","Hardware, Information Technology","Denver, Colorado, United States","www.ximpleit.com","Less than $1M",,
"Ziino Tech","Cyber Security, Email, IT Management, Network Hardware, Technical Support","Duluth, Georgia, United States","www.ziinotech.com/","Less than $1M",,
"fireeye","Analytics, Cyber Security, Network Security, Security","Milpitas, California, United States",,"$500M to $1B","1001-5000","FEYE"
"itTeam","Cloud Computing, Computer, Network Hardware","Leknes, Hordaland, Norway","itteam.no/nyheter","Less than $1M",,
